카테고리,순위,제품명 (브랜드),베타카로틴 (mcg),비타민 A (mcg),비타민 C (mg),비타민 D (mcg),식물성 비타민 D2 (mcg),동물성 비타민 D3 (mcg),비타민 E (mgα-TE),비타민 K (mcg),비타민 B1 (mg),비타민 B2 (mg),비타민 B3 (mg),비타민 B6 (mg),비타민 B9 (mcg DFE),비타민 B12 (mcg),비타민 B7 (mcg),비타민 B5 (mg),콜린 (mg),요오드 (mcg),철분 (mg),아연 (mg),마그네슘 (mg),셀레늄 (mcg),구리 (mcg),망간 (mg),크롬 (mcg),소듐 (mg),포타슘 (mg),인 (mg),D-감마 토코페롤 (mg),붕소 (mg),몰리브덴 (mcg),프로바이오틱스 (CFU),칼슘 (mg),EPA + DHA (mg),단백질 (g),루테인 (mg),총지아잔틴 (mg),아스타잔틴 (mg),L-류신 (mg),L-글루타민 (mg),L-이소류신 (mg),L-발린 (mg),바코드
종합 비타민,1,얼라이브 원스데일리 포 맨 / 우먼,0,555,200,10,0,0,25,70,35,30,45,45,510,150,100,65,0,150,0,20,0,135,2000,3.5,100,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,
종합 비타민,2,센트룸 포 맨/우먼,900,300,180,20,0,0,13.32,25,4.2,4.6,16,5.5,400,21.6,54,12.5,0,150,6,11,84,55,900,5.5,35,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,
종합 비타민,3,쏜리서치 베이직 뉴트리언트 2 데이,0,1.5,250,50,0,0,16.5,400,50,12,80,20,667,600,500,45,28,75,0,15,20,200,750,3,400,0,0,0,24,2,0,0,52,0,0,0,0,0,0,0,0,0,
비타민 B,1,쏜리서치 베이직 B 콤플렉스,0,0,0,0,0,0,0,0,110,10,140,10,667,400,400,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 B,2,뉴트리코어 비타민B 콤플렉스,0,0,0,0,0,0,0,0,1.26,1.35,13.5,1.85,731,2.6,127,4.7,0,0,0,8.5,0,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 B,3,고려은단 메가도스 B,0,0,0,0,0,0,0,0,100,100,50,50,400,100,900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 C,1,고려은단 비타민C 1000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 C,2,나우푸드 C-1000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 C,3,닥터스 베스트 비타민C,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 D,1,나우푸드 비타민 D3 5000IU,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 D,2,솔가 비타민 D3 2000IU,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
비타민 D,3,고려은단 메가도스D 비타민D3 4000IU,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
철분,1,솔가 철분 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
철분,2,나우푸드 철분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
철분,3,네이처메이드 철분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
마그네슘,1,나우푸드 구연산 마그네슘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
마그네슘,2,닥터베스트 고흡수 마그네슘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
마그네슘,3,솔가 마그네슘 위드 비타민B6,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
아연,1,나우푸드 L-옵티징크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
아연,2,솔가 아연 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
아연,3,종근단 아연 플러스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
칼슘,1,솔가 칼마디 (복합),0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,20,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,
칼슘,2,종근당건강 칼슘 마그네슘,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,1.1,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,
칼슘,3,네이처메이드 칼마디,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,250,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,
오메가3,1,종근당 프로메가,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,
오메가3,2,스포츠리서치 트리플,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,
오메가3,3,노르딕 내추럴스 얼티밋,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,
루테인,1,안국건강 루테인지아잔틴 미니,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.182,1.818,0,0,0,0,0,
루테인,2,종근당 아이클리어,0,700,30,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.182,1.818,4,0,0,0,0,
루테인,3,뉴트리원 루테인164,0,210,0,0,0,0,3.3,0,0.36,0.42,0,0,0,0,0,0,0,0,0,2.55,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,
유산균,1,종근당 락토핏 골드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,2000000000,0,0,0,0,0,0,0,0,0,0,
유산균,2,로우 도피러스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000000,0,0,0,0,0,0,0,0,0,0,
유산균,3,덴마크유산균이야기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,
단백질,1,옵티멈 뉴트리션 골드스탠다드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,
단백질,2,BSN 신타6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,240,390,0,0,0,0,0,160,0,22,0,0,0,0,0,0,0,
단백질,3,하이뮨 프로틴 밸런스L,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,9,0,0,0,0,0,150,0,160,0,0,0,0,0,0,20,0,0,0,0,0,0,0,
BCAA,1,엑스텐드 오리지널,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,220,170,0,0,0,0,0,0,0,0,0,0,0,3500,2500,1750,1750,
BCAA,2,마이프로틴 BCAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,1250,1250,0,
BCAA,3,머슬팜 에센셜 BCAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2000,1000,0,
