카테고리,순위,제품명 (브랜드),핵심 성분,1회 제공량 기준 함량,중복/과다복용 주의사항 (알고리즘 기준),1일 섭취 권장량,권장 시간대
종합 비타민,1,얼라이브 원스데일리,비타민B6 / 비타민D / 아연,B6 50mg / D 50㎍ / 아연 11mg,"B군(수용성), D(지용성), 아연 중복 트리거",1캡슐,아침~점심 식후
종합 비타민,2,센트룸 포 맨/우먼,비타민B6 / 비타민D / 아연,B6 9.8mg / D 10㎍ / 아연 5mg,함량이 낮으나 타 영양제 고함량 스캔 시 합산 주의,1캡슐,
종합 비타민,3,쏜리서치 베이직 뉴트리션,비타민B6 / 비타민D / 아연,B6 10mg / D 50㎍ / 아연 15mg,B군 및 아연(35mg 상한) 합산 로직 필수,2캡슐,
비타민 B,1,쏜리서치 베이직 B 콤플렉스,비타민B6 / 비타민B12,B6 10mg / B12 400㎍,종합비타민 스캔 후 추가 스캔 시 B군 경고,1-3캡슐,아침 식후 점심 식후
비타민 B,2,나우푸드 B-50,비타민B6 / 비타민B12,B6 50mg / B12 50㎍,얼라이브와 중복 시 B6 100mg 도달 (신경 손상 상한선),1캡슐,
비타민 B,3,고려은단 메가도스 B,비타민B6 / 비타민B12,B6 100mg / B12 100㎍,"단일만으로 B6 상한선 도달, BCAA와도 중복 금지",1캡슐,
비타민 C,1,고려은단 비타민C 1000,비타민 C,C 1000mg,2회 이상 스캔 시 위장장애 및 신장결석 경고,1캡슐,아침 식후 점심 식후
비타민 C,2,나우푸드 C-1000,비타민 C,C 1000mg,칼슘제(시트라칼 등)와 합산 시 결석 위험,1캡슐,
비타민 C,3,닥터베스트 비타민C,비타민 C,C 1000mg,2000mg(상한선) 초과 여부 필터링,1캡슐,
비타민 D,1,나우푸드 비타민 D3 5000IU,비타민 D,D 125㎍ (5000 IU),지용성 상한(4000 IU) 초과. 축적 독성 경고,1캡슐,아침 식후 점심 식후
비타민 D,2,솔가 비타민 D3 2200IU,비타민 D,D 55㎍ (2200 IU),종합비타민(얼라이브)과 스캔 시 상한선 도달,1캡슐,
